municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 00:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 01:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 01:50:00.0;0,20;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 02:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 03:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 04:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 05:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 06:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 07:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 08:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 09:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 09:30:00.0;0,20;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 10:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 11:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 12:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 13:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 14:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 15:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 16:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 17:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 18:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 19:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 20:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 21:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 22:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-03 23:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 00:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 01:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 02:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 03:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 04:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 05:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 06:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 07:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 08:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 09:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 10:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 11:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 12:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 13:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 14:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 15:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 16:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 17:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 18:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 19:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 20:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 21:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 22:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-04 23:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 00:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 01:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 02:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 03:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 04:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 05:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 06:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 07:10:00.0;0,00;
